business_id;name;categories;city;stars;text
b1632;Apex Plumbing;Plumbing, Roofing, Electricians, Heating & Air Conditioning/HVAC;Tucson;4.0;apex plumbing plumbing roofing electrician heating air
b1360;Serene Spa;Waxing, Skin Care;Phoenix;4.5;serene spa waxing skin care
b1634;Reliable Electric;Contractors, Electricians, Home Services;Phoenix;3.0;reliable electric contractor electrician home service
b1393;Pro Car Wash;Oil Change Stations, Body Shops, Auto Parts, Auto Repair;Reno;3.5;pro car wash oil change station body shop auto part auto repair
b1240;Hungry Eatery;Fries, Fast Food, Hot Dogs;Portland;4.0;hungry eatery fry fast food hot dog
b1148;Casa Cocina;Burritos, Tex-Mex, Mexican, Latin American;Austin;4.5;casa cocina burrito mexican latin american
b1594;Fresh Provisions;Convenience Stores, Shopping, Grocery;Madison;4.0;fresh provision convenience store shopping grocery
b1248;Route Burger Joint;Burgers, Fries;Nashville;5.0;route burger joint burger fry
b1474;Bright Family Clinic;Optometrists, Chiropractors, Physical Therapy, Health & Medical;Tucson;5.0;bright family clinic optometrist chiropractor physical therapy health medical
b1564;Fresh Provisions;Specialty Food, Farmers Market, Convenience Stores, Grocery;Portland;4.5;fresh provision specialty food farmer market convenience store grocery
b1151;Fiesta Tacos;Restaurants, Tex-Mex, Tacos, Mexican;Boulder;4.5;fiesta taco restaurant taco mexican
b1757;Royal Hotel;Bed & Breakfast, Resorts, Hotels, Hotels & Travel;Tucson;4.5;royal hotel bed breakfast resort hotel hotel travel
b1419;Quick Garage;Automotive, Auto Parts;Columbus;4.5;quick garage automotive auto part
b1696;Loyal Animal Hospital;Pet Groomers, Pets, Veterinarians;Reno;4.5;loyal animal hospital pet groomers pet veterinarian
b1416;Express Tire Center;Tires, Body Shops, Auto Parts;Tucson;3.0;express tire center tire body shop auto part
b1611;Apex Plumbing;Electricians, Heating & Air Conditioning/HVAC;Madison;4.0;apex plumbing electrician heating air
b1364;Bliss Beauty Bar;Skin Care, Day Spas, Waxing;Austin;3.5;bliss beauty bar skin care day spa waxing
b1006;Corner Bakery;Juice Bars & Smoothies, Cafes;Madison;4.0;corner bakery juice bar smoothy cafe
b1498;Pulse Fitness;Active Life, Trainers;Madison;4.0;pulse fitness active life trainer
b1116;El Grill;Latin American, Mexican, Restaurants, Tex-Mex;Tampa;4.5;el grill latin american mexican restaurant
b1720;Plaza Lodge;Resorts, Bed & Breakfast, Hotels, Hotels & Travel;Columbus;4.5;plaza lodge resort bed breakfast hotel hotel travel
b1306;Tap Saloon;Beer, Pubs, Lounges, Sports Bars;Phoenix;4.5;tap saloon beer pub lounge sport bar
b1163;Sol Cocina;Latin American, Restaurants, Burritos, Mexican;Columbus;4.0;sol cocina latin american restaurant burrito mexican
b1159;Sol Grill;Mexican, Latin American, Tex-Mex;Tampa;4.5;sol grill mexican latin american
b1016;Urban Bakery;Cafes, Tea Rooms, Breakfast & Brunch, Juice Bars & Smoothies;Columbus;3.5;urban bakery cafe tea room breakfast brunch juice bar smoothy
b1113;Sol Cocina;Tex-Mex, Restaurants, Tacos;Reno;4.0;sol cocina restaurant taco
b1217;Golden Wok;Restaurants, Thai, Japanese;Boulder;4.0;golden wok restaurant thai japanese
b1293;Old Saloon;Pubs, Cocktail Bars;Tucson;3.5;old saloon pub cocktail bar
b1729;Park Hotel;Bed & Breakfast, Hotels & Travel, Resorts, Hotels;Phoenix;4.5;park hotel bed breakfast hotel travel resort hotel
b1138;El Cantina;Latin American, Tacos, Burritos, Tex-Mex;Madison;4.5;el cantina latin american taco burrito
b1471;Gentle Health Group;Optometrists, Doctors, Health & Medical;Portland;3.5;gentle health group optometrist doctor health medical
b1668;Paws Pet Care;Pet Stores, Dog Walkers;Columbus;4.5;paw pet care pet store dog walker
b1024;Sunrise Brew House;Donuts, Coffee & Tea;Phoenix;4.0;sunrise brew house donut coffee tea
b1655;Reliable Electric;Electricians, Plumbing, Roofing;Boulder;4.0;reliable electric electrician plumbing roofing
b1574;Market Grocery;Shopping, Organic Stores, Specialty Food, Convenience Stores;Tampa;4.0;market grocery shopping organic store specialty food convenience store
b1449;Advanced Dentistry;Health & Medical, Optometrists, Chiropractors;Boulder;4.5;advanced dentistry health medical optometrist chiropractor
b1036;Bean Roasters;Bakeries, Cafes, Breakfast & Brunch, Tea Rooms;Tucson;3.5;bean roaster bakery cafe breakfast brunch tea room
b1552;Fresh Market;Convenience Stores, Organic Stores, Grocery, Specialty Food;Columbus;4.5;fresh market convenience store organic store grocery specialty food
b1319;Hop Lounge;Cocktail Bars, Beer;Tucson;5.0;hop lounge cocktail bar beer
b1292;Old Saloon;Bars, Lounges, Breweries, Cocktail Bars;Portland;3.5;old saloon bar lounge brewery cocktail bar
b1493;Lakeside Family Clinic;Optometrists, Physical Therapy;Boulder;3.0;lakeside family clinic optometrist physical therapy
b1381;Pure Hair Studio;Hair Salons, Skin Care, Beauty & Spas, Nail Salons;Tampa;5.0;pure hair studio hair salon skin care beauty spa nail salon
b1030;Daily Cafe;Donuts, Cafes, Juice Bars & Smoothies;Phoenix;4.0;daily cafe donut cafe juice bar smoothy
b1066;Rustic Pizza;Restaurants, Calzones;Madison;4.0;rustic pizza restaurant calzones
b1309;Iron Tavern;Breweries, Pubs;Reno;3.0;iron tavern brewery pub
b1607;Trusted Plumbing;Electricians, Contractors, Plumbing;Austin;4.5;trusted plumbing electrician contractor plumbing
b1032;Bean Roasters;Tea Rooms, Bakeries;Reno;4.5;bean roaster tea room bakery
b1641;All Heating & Cooling;Electricians, Plumbing;Austin;4.0;heating cooling electrician plumbing
b1239;Hungry Burger Joint;Sandwiches, Hot Dogs, Restaurants, American (Traditional);Tucson;4.5;hungry burger joint sandwich hot dog restaurant american traditional
b1695;Cozy Pet Grooming;Veterinarians, Pet Groomers, Animal Shelters;Tampa;3.0;cozy pet grooming veterinarian pet groomers animal shelter
b1411;Highway Tire Center;Oil Change Stations, Body Shops, Automotive, Tires;Tampa;3.0;highway tire center oil change station body shop automotive tire
b1754;Plaza Suites;Event Planning & Services, Hotels & Travel, Hotels;Madison;4.0;plaza suite event planning service hotel travel hotel
b1448;Advanced Health Group;Doctors, Chiropractors;Phoenix;5.0;advanced health group doctor chiropractor
b1088;Rustic Trattoria;Calzones, Restaurants, Pizza;Austin;5.0;rustic trattoria calzones restaurant pizza
b1598;Market Pantry;Grocery, Organic Stores;Portland;4.5;market pantry grocery organic store
b1345;Luxe Hair Studio;Hair Salons, Beauty & Spas;Tampa;4.5;luxe hair studio hair salon beauty spa
b1762;Garden Suites;Resorts, Event Planning & Services, Bed & Breakfast;Boulder;3.0;garden suite resort event planning service bed breakfast
b1530;Flow Fitness;Fitness & Instruction, Trainers;Nashville;4.0;flow fitness fitness instruction trainer
b1215;Lucky Wok;Noodles, Asian Fusion;Boulder;5.0;lucky wok noodle asian fusion
b1233;Classic Burgers;Burgers, Fries, Fast Food;Portland;3.5;classic burger burger fry fast food
b1078;Famous Pizza;Italian, Wine Bars, Calzones;Reno;3.5;famous pizza italian wine bar calzones
b1403;Precision Car Wash;Auto Parts, Automotive;Tampa;4.0;precision car wash auto part automotive
b1044;Bean Cafe;Donuts, Cafes, Juice Bars & Smoothies, Tea Rooms;Austin;4.5;bean cafe donut cafe juice bar smoothy tea room
b1028;Bean Cafe;Donuts, Tea Rooms;Phoenix;3.0;bean cafe donut tea room
b1038;Corner Bakery;Tea Rooms, Juice Bars & Smoothies;Boulder;3.0;corner bakery tea room juice bar smoothy
b1173;Lucky Ramen;Japanese, Asian Fusion, Ramen;Columbus;5.0;lucky ramen japanese asian fusion ramen
b1363;Radiant Nails;Hair Salons, Day Spas;Portland;5.0;radiant nail hair salon day spa
b1438;Quick Auto Body;Automotive, Car Wash, Auto Repair;Madison;4.5;quick auto body automotive car wash auto repair
b1322;Copper Saloon;Pubs, Sports Bars, Lounges;Tampa;4.0;copper saloon pub sport bar lounge
b1047;Morning Beans;Breakfast & Brunch, Juice Bars & Smoothies, Bakeries, Tea Rooms;Tucson;4.0;morning bean breakfast brunch juice bar smoothy bakery tea room
b1768;Park Suites;Bed & Breakfast, Hotels & Travel;Austin;4.0;park suite bed breakfast hotel travel
b1462;Modern Medical Center;Dentists, Doctors;Phoenix;4.0;modern medical center dentist doctor
b1442;Modern Medical Center;Physical Therapy, Optometrists, Health & Medical;Columbus;4.5;modern medical center physical therapy optometrist health medical
b1156;Sol Cocina;Restaurants, Burritos;Boulder;4.0;sol cocina restaurant burrito
b1201;Jade Dragon;Japanese, Ramen, Noodles, Sushi Bars;Phoenix;5.0;jade dragon japanese ramen noodle sushi bar
b1103;Rustic Pizza;Pasta, Calzones;Madison;4.0;rustic pizza pasta calzones
b1098;Rustic Pizza;Pizza, Wine Bars, Pasta, Restaurants;Tucson;5.0;rustic pizza pizza wine bar pasta restaurant
b1531;Summit Gym;Pilates, Yoga;Madison;4.5;summit gym pilate yoga
b1677;Happy Pet Care;Pet Stores, Animal Shelters, Veterinarians;Phoenix;4.5;happy pet care pet store animal shelter veterinarian
b1584;Daily Market;Convenience Stores, Specialty Food, Shopping, Grocery;Phoenix;4.0;daily market convenience store specialty food shopping grocery
b1638;Premier Electric;Roofing, Electricians;Tucson;3.0;premier electric roofing electrician
b1609;Guardian Plumbing;Electricians, Plumbing;Tampa;4.5;guardian plumbing electrician plumbing
b1501;Elevate Yoga Studio;Pilates, Gyms, Active Life, Cycling Classes;Tucson;3.5;elevate yoga studio pilate gym active life cycling class
b1059;Little Italian Kitchen;Italian, Pasta, Wine Bars, Calzones;Tampa;4.5;little italian kitchen italian pasta wine bar calzones
b1180;Golden Kitchen;Chinese, Noodles, Ramen, Asian Fusion;Boulder;4.5;golden kitchen chinese noodle ramen asian fusion
b1499;Core Yoga Studio;Gyms, Trainers, Pilates, Fitness & Instruction;Phoenix;4.0;core yoga studio gym trainer pilate fitness instruction
b1573;Harvest Grocery;Farmers Market, Shopping;Phoenix;4.5;harvest grocery farmer market shopping
b1515;Core Wellness;Cycling Classes, Active Life, Yoga, Fitness & Instruction;Tucson;5.0;core wellness cycling class active life yoga fitness instruction
b1738;Garden Suites;Event Planning & Services, Hotels & Travel, Bed & Breakfast, Resorts;Tampa;4.0;garden suite event planning service hotel travel bed breakfast resort
b1472;Bright Chiropractic;Health & Medical, Optometrists, Chiropractors;Madison;5.0;bright chiropractic health medical optometrist chiropractor
b1721;Grand Inn;Resorts, Bed & Breakfast, Hotels, Hotels & Travel;Nashville;3.0;grand inn resort bed breakfast hotel hotel travel
b1709;Cozy Pet Shop;Animal Shelters, Pet Stores;Columbus;4.0;cozy pet shop animal shelter pet store
b1550;Summit Fitness;Fitness & Instruction, Active Life, Cycling Classes;Tucson;3.0;summit fitness fitness instruction active life cycling class
b1018;Daily Roasters;Juice Bars & Smoothies, Donuts;Phoenix;3.0;daily roaster juice bar smoothy donut
b1395;Pro Motors;Auto Parts, Body Shops;Columbus;3.0;pro motor auto part body shop
b1617;Apex HVAC;Plumbing, Heating & Air Conditioning/HVAC, Contractors;Tucson;4.0;apex hvac plumbing heating air contractor
b1158;Fiesta Cantina;Tacos, Latin American;Tampa;3.5;fiesta cantina taco latin american
b1071;Mama Pizza;Pizza, Italian, Restaurants, Wine Bars;Madison;4.5;mama pizza pizza italian restaurant wine bar
b1312;Iron Brewery;Cocktail Bars, Lounges;Portland;4.0;iron brewery cocktail bar lounge
b1053;Urban Coffee;Cafes, Tea Rooms, Bakeries;Boulder;4.0;urban coffee cafe tea room bakery
b1728;Park Inn;Bed & Breakfast, Resorts, Hotels, Hotels & Travel;Phoenix;4.0;park inn bed breakfast resort hotel hotel travel
b1551;Fresh Provisions;Farmers Market, Specialty Food;Phoenix;3.5;fresh provision farmer market specialty food
b1318;Copper Saloon;Nightlife, Pubs;Austin;5.0;copper saloon nightlife pub
b1253;Smash Grill;Restaurants, American (Traditional), Fast Food;Phoenix;4.5;smash grill restaurant american traditional fast food
b1704;Cozy Pet Shop;Animal Shelters, Pet Stores;Portland;4.5;cozy pet shop animal shelter pet store
b1065;Nonna Trattoria;Italian, Restaurants;Tucson;4.0;nonna trattoria italian restaurant
b1394;All-Star Tire Center;Tires, Automotive, Oil Change Stations, Auto Repair;Reno;4.5;tire center tire automotive oil change station auto repair
b1427;Pro Tire Center;Oil Change Stations, Car Wash;Tampa;3.0;pro tire center oil change station car wash
b1185;Red Sushi;Thai, Chinese;Austin;3.0;red sushi thai chinese
b1440;Highway Car Wash;Oil Change Stations, Body Shops, Auto Repair;Nashville;4.0;highway car wash oil change station body shop auto repair
b1686;Wag Veterinary Clinic;Veterinarians, Animal Shelters;Madison;5.0;wag veterinary clinic veterinarian animal shelter
b1475;Bright Family Clinic;Doctors, Chiropractors, Optometrists;Portland;4.0;bright family clinic doctor chiropractor optometrist
b1512;Peak Yoga Studio;Pilates, Gyms, Cycling Classes, Active Life;Portland;3.0;peak yoga studio pilate gym cycling class active life
b1765;Park Suites;Hotels & Travel, Resorts, Bed & Breakfast;Phoenix;4.5;park suite hotel travel resort bed breakfast
b1254;Route Sandwich Shop;Restaurants, Sandwiches, Fast Food, Fries;Nashville;4.5;route sandwich shop restaurant sandwich fast food fry
b1301;Iron Alehouse;Cocktail Bars, Pubs;Reno;5.0;iron alehouse cocktail bar pub
b1139;La Cantina;Tex-Mex, Restaurants;Phoenix;4.5;la cantina restaurant
b1174;Lucky Bistro;Chinese, Ramen, Sushi Bars, Asian Fusion;Boulder;4.5;lucky bistro chinese ramen sushi bar asian fusion
b1037;Cozy Beans;Breakfast & Brunch, Donuts;Phoenix;3.0;cozy bean breakfast brunch donut
b1748;Heritage Suites;Hotels, Resorts, Hotels & Travel;Boulder;4.5;heritage suite hotel resort hotel travel
b1454;Family Dentistry;Physical Therapy, Health & Medical, Chiropractors;Tucson;3.0;family dentistry physical therapy health medical chiropractor
b1445;Lakeside Health Group;Optometrists, Health & Medical, Doctors;Madison;4.0;lakeside health group optometrist health medical doctor
b1082;Original Trattoria;Restaurants, Wine Bars;Phoenix;3.5;original trattoria restaurant wine bar
b1289;Old Cocktail Bar;Bars, Lounges;Reno;3.5;old cocktail bar bar lounge
b1629;Trusted Electric;Roofing, Home Services, Heating & Air Conditioning/HVAC, Contractors;Columbus;3.5;trusted electric roofing home service heating air contractor
b1599;Harvest Market;Shopping, Organic Stores;Madison;3.5;harvest market shopping organic store
b1379;Polished Spa;Barbers, Nail Salons;Reno;4.5;polished spa barber nail salon
b1057;Nonna Pizzeria;Pasta, Calzones, Wine Bars;Tucson;5.0;nonna pizzeria pasta calzones wine bar
b1654;Hometown Heating & Cooling;Contractors, Plumbing, Heating & Air Conditioning/HVAC;Madison;3.0;hometown heating cooling contractor plumbing heating air
b1296;Copper Saloon;Breweries, Nightlife, Pubs, Sports Bars;Tampa;4.5;copper saloon brewery nightlife pub sport bar
b1743;Grand Inn;Resorts, Event Planning & Services, Hotels & Travel;Austin;5.0;grand inn resort event planning service hotel travel
b1415;Highway Auto Repair;Automotive, Oil Change Stations, Auto Repair, Auto Parts;Tampa;5.0;highway auto repair automotive oil change station auto repair auto part
b1093;Original Pizza;Calzones, Wine Bars, Italian, Restaurants;Reno;3.0;original pizza calzones wine bar italian restaurant
b1274;Downtown Sandwich Shop;Fries, Restaurants;Tampa;4.5;downtown sandwich shop fry restaurant
b1458;Lakeside Health Group;Dentists, Physical Therapy;Tampa;3.0;lakeside health group dentist physical therapy
b1430;All-Star Auto Body;Tires, Auto Repair, Car Wash;Tampa;4.0;auto body tire auto repair car wash
b1627;Apex Electric;Roofing, Contractors;Columbus;4.0;apex electric roofing contractor
b1105;Nonna Pizza;Calzones, Restaurants, Pasta;Nashville;4.0;nonna pizza calzones restaurant pasta
b1287;Iron Lounge;Lounges, Beer, Pubs, Nightlife;Tampa;4.0;iron lounge lounge beer pub nightlife
b1303;Iron Pub;Bars, Breweries, Beer;Columbus;4.0;iron pub bar brewery beer
b1167;Golden Kitchen;Restaurants, Noodles, Thai, Ramen;Reno;3.5;golden kitchen restaurant noodle thai ramen
b1756;Garden Hotel;Bed & Breakfast, Hotels & Travel;Boulder;4.0;garden hotel bed breakfast hotel travel
b1192;Sakura Sushi;Sushi Bars, Noodles, Ramen;Phoenix;4.0;sakura sushi sushi bar noodle ramen
b1612;Hometown Home Services;Home Services, Roofing, Contractors;Madison;3.0;hometown home service home service roofing contractor
b1141;Agave Cocina;Restaurants, Latin American, Burritos, Tacos;Nashville;4.0;agave cocina restaurant latin american burrito taco
b1040;Daily Espresso;Juice Bars & Smoothies, Breakfast & Brunch;Portland;3.0;daily espresso juice bar smoothy breakfast brunch
b1702;Whiskers Pet Care;Pets, Animal Shelters, Pet Stores, Veterinarians;Tampa;4.5;whisker pet care pet animal shelter pet store veterinarian
b1164;Taco Burrito Bar;Burritos, Latin American, Tacos, Restaurants;Tampa;4.0;taco burrito bar burrito latin american taco restaurant
b1337;Polished Nails;Hair Salons, Day Spas;Austin;4.5;polished nail hair salon day spa
b1170;Jade Bistro;Sushi Bars, Thai;Tampa;4.0;jade bistro sushi bar thai
b1549;Peak Gym;Gyms, Fitness & Instruction;Portland;4.5;peak gym gym fitness instruction
b1707;Whiskers Veterinary Clinic;Pets, Veterinarians;Reno;4.5;whisker veterinary clinic pet veterinarian
b1719;Plaza Bed & Breakfast;Bed & Breakfast, Hotels;Portland;4.0;plaza bed breakfast bed breakfast hotel
b1252;Route Eatery;Restaurants, Burgers, Hot Dogs, Sandwiches;Tampa;5.0;route eatery restaurant burger hot dog sandwich
b1576;Nature Pantry;Specialty Food, Grocery, Organic Stores;Reno;3.0;nature pantry specialty food grocery organic store
b1525;Elevate Wellness;Fitness & Instruction, Gyms;Tucson;5.0;elevate wellness fitness instruction gym
b1559;Fresh Grocery;Farmers Market, Grocery, Organic Stores, Convenience Stores;Madison;3.0;fresh grocery farmer market grocery organic store convenience store
b1315;Old Lounge;Lounges, Sports Bars, Breweries, Beer;Phoenix;4.5;old lounge lounge sport bar brewery beer
b1758;Lakeview Hotel;Hotels & Travel, Bed & Breakfast;Madison;4.5;lakeview hotel hotel travel bed breakfast
b1407;Pro Auto Body;Auto Parts, Body Shops, Auto Repair, Car Wash;Boulder;4.5;pro auto body auto part body shop auto repair car wash
b1749;Lakeview Inn;Hotels & Travel, Event Planning & Services, Hotels;Columbus;4.0;lakeview inn hotel travel event planning service hotel
b1435;Highway Tire Center;Automotive, Car Wash, Auto Parts;Tampa;3.0;highway tire center automotive car wash auto part
b1593;Daily Grocery;Grocery, Farmers Market, Specialty Food;Austin;5.0;daily grocery grocery farmer market specialty food
b1015;Cozy Beans;Cafes, Coffee & Tea;Phoenix;4.5;cozy bean cafe coffee tea
b1313;Iron Brewery;Breweries, Cocktail Bars;Tucson;4.5;iron brewery brewery cocktail bar
b1311;Copper Lounge;Pubs, Nightlife, Cocktail Bars, Lounges;Nashville;5.0;copper lounge pub nightlife cocktail bar lounge
b1070;Mama Pizzeria;Pizza, Pasta, Wine Bars, Calzones;Reno;4.5;mama pizzeria pizza pasta wine bar calzones
b1333;Luxe Spa;Barbers, Waxing, Beauty & Spas, Hair Salons;Boulder;4.0;luxe spa barber waxing beauty spa hair salon
b1362;Polished Nails;Nail Salons, Barbers;Reno;4.0;polished nail nail salon barber
b1457;Gentle Chiropractic;Optometrists, Dentists, Doctors, Chiropractors;Reno;5.0;gentle chiropractic optometrist dentist doctor chiropractor
b1537;Summit Fitness;Pilates, Cycling Classes, Fitness & Instruction;Portland;4.5;summit fitness pilate cycling class fitness instruction
b1623;Reliable HVAC;Electricians, Heating & Air Conditioning/HVAC, Plumbing, Roofing;Phoenix;3.5;reliable hvac electrician heating air plumbing roofing
b1371;Polished Salon;Beauty & Spas, Hair Salons, Day Spas, Waxing;Tampa;5.0;polished salon beauty spa hair salon day spa waxing
b1130;La Cocina;Mexican, Tacos, Burritos, Restaurants;Reno;4.5;la cocina mexican taco burrito restaurant
b1213;Lucky Dragon;Asian Fusion, Ramen, Restaurants, Sushi Bars;Tucson;3.5;lucky dragon asian fusion ramen restaurant sushi bar
b1657;Reliable Electric;Roofing, Heating & Air Conditioning/HVAC, Contractors;Portland;4.0;reliable electric roofing heating air contractor
b1604;Nature Foods;Convenience Stores, Specialty Food, Farmers Market;Phoenix;4.5;nature food convenience store specialty food farmer market
b1739;Park Hotel;Event Planning & Services, Resorts, Bed & Breakfast, Hotels;Portland;4.0;park hotel event planning service resort bed breakfast hotel
b1153;Taco Cocina;Mexican, Restaurants, Latin American, Burritos;Phoenix;5.0;taco cocina mexican restaurant latin american burrito
b1307;Old Lounge;Sports Bars, Pubs;Boulder;3.5;old lounge sport bar pub
b1321;Blue Cocktail Bar;Lounges, Bars, Nightlife, Cocktail Bars;Boulder;3.0;blue cocktail bar lounge bar nightlife cocktail bar
b1510;Summit Yoga Studio;Gyms, Fitness & Instruction, Trainers;Austin;3.0;summit yoga studio gym fitness instruction trainer
b1428;Pro Garage;Auto Parts, Tires, Automotive, Auto Repair;Tucson;3.0;pro garage auto part tire automotive auto repair
b1157;Agave Tacos;Mexican, Restaurants, Burritos, Latin American;Madison;3.0;agave taco mexican restaurant burrito latin american
b1378;Serene Nails;Beauty & Spas, Nail Salons, Barbers, Waxing;Tampa;4.5;serene nail beauty spa nail salon barber waxing
b1585;Fresh Grocery;Specialty Food, Convenience Stores, Organic Stores, Grocery;Columbus;4.0;fresh grocery specialty food convenience store organic store grocery
b1172;Red Sushi;Chinese, Thai, Asian Fusion, Restaurants;Nashville;4.0;red sushi chinese thai asian fusion restaurant
b1085;Little Ristorante;Restaurants, Calzones, Pasta;Phoenix;5.0;little ristorante restaurant calzones pasta
b1464;Advanced Medical Center;Health & Medical, Dentists, Doctors;Tucson;3.0;advanced medical center health medical dentist doctor
b1402;Express Tire Center;Auto Parts, Auto Repair, Tires;Tampa;5.0;express tire center auto part auto repair tire
b1744;Park Inn;Hotels & Travel, Resorts;Boulder;4.5;park inn hotel travel resort
b1588;Fresh Provisions;Farmers Market, Shopping, Convenience Stores, Specialty Food;Austin;4.5;fresh provision farmer market shopping convenience store specialty food
b1019;Corner Brew House;Cafes, Breakfast & Brunch, Bakeries;Madison;3.5;corner brew house cafe breakfast brunch bakery
b1178;Bamboo Noodle House;Thai, Restaurants, Ramen;Austin;5.0;bamboo noodle house thai restaurant ramen
b1563;Fresh Provisions;Convenience Stores, Organic Stores, Specialty Food, Grocery;Portland;4.0;fresh provision convenience store organic store specialty food grocery
b1102;Bella Pizza;Restaurants, Calzones, Pasta, Italian;Boulder;3.0;bella pizza restaurant calzones pasta italian
b1343;Serene Barbershop;Day Spas, Skin Care;Reno;3.0;serene barbershop day spa skin care
b1441;Advanced Health Group;Health & Medical, Dentists, Doctors;Austin;4.0;advanced health group health medical dentist doctor
b1124;Sol Cocina;Tacos, Burritos, Latin American, Mexican;Phoenix;4.5;sol cocina taco burrito latin american mexican
b1316;Blue Tavern;Sports Bars, Beer, Breweries, Lounges;Reno;4.0;blue tavern sport bar beer brewery lounge
b1476;Family Chiropractic;Optometrists, Physical Therapy;Boulder;5.0;family chiropractic optometrist physical therapy
b1711;Paws Pet Grooming;Pet Groomers, Pets, Veterinarians;Austin;3.5;paw pet grooming pet groomers pet veterinarian
b1703;Cozy Veterinary Clinic;Animal Shelters, Pet Stores;Columbus;3.5;cozy veterinary clinic animal shelter pet store
b1344;Luxe Salon;Hair Salons, Waxing, Beauty & Spas, Nail Salons;Tucson;4.5;luxe salon hair salon waxing beauty spa nail salon
b1377;Bliss Beauty Bar;Barbers, Waxing, Skin Care, Nail Salons;Madison;5.0;bliss beauty bar barber waxing skin care nail salon
b1596;Harvest Mart;Shopping, Specialty Food, Farmers Market, Convenience Stores;Boulder;5.0;harvest mart shopping specialty food farmer market convenience store
b1184;Tokyo Wok;Sushi Bars, Thai;Phoenix;5.0;tokyo wok sushi bar thai
b1372;Bliss Salon;Day Spas, Waxing;Reno;3.0;bliss salon day spa waxing
b1643;Premier Home Services;Plumbing, Home Services;Tampa;4.0;premier home service plumbing home service
b1746;Royal Lodge;Event Planning & Services, Hotels & Travel, Hotels;Columbus;4.0;royal lodge event planning service hotel travel hotel
b1529;Core Crossfit;Pilates, Cycling Classes;Tampa;4.5;core crossfit pilate cycling class
b1446;Family Chiropractic;Health & Medical, Doctors, Physical Therapy, Optometrists;Columbus;4.0;family chiropractic health medical doctor physical therapy optometrist
b1424;Quick Auto Repair;Body Shops, Automotive;Tucson;4.0;quick auto repair body shop automotive
b1685;Loyal Veterinary Clinic;Dog Walkers, Pet Groomers, Pet Stores, Animal Shelters;Columbus;3.5;loyal veterinary clinic dog walker pet groomers pet store animal shelter
b1297;Old Brewery;Cocktail Bars, Lounges;Phoenix;4.0;old brewery cocktail bar lounge
b1608;Trusted Electric;Plumbing, Contractors, Heating & Air Conditioning/HVAC;Boulder;4.0;trusted electric plumbing contractor heating air
b1216;Sakura Ramen;Chinese, Ramen;Madison;4.0;sakura ramen chinese ramen
